사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-08,2호선,14,을지로4가,8,1,771,924,"1,348","10,331","2,490","27,608","4,347","63,897","5,494","36,378","7,292","19,632","10,384","16,844","13,018","15,408","13,665","14,107","15,947","13,836","18,576","12,273","21,935","10,490","42,498","9,572","57,457","8,606","27,771","5,060","13,707","2,561","10,498","2,054","7,148","1,780","2,816","1,348",2,141,1,1,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,15,동대문역사문화공원(DDP),218,2,"5,862",788,"3,921","6,557","5,436","17,827","8,149","43,221","7,689","25,252","7,837","19,469","10,668","19,716","12,650","17,670","13,116","18,009","15,842","17,392","18,884","16,043","24,484","14,675","30,980","15,426","36,397","18,117","22,427","19,971","16,120","11,774","16,882","8,540","11,043","6,736","4,663","5,635",2,474,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,16,신당,18,0,"5,276","1,045","10,320","6,768","22,779","14,765","36,085","30,060","22,389","19,838","15,481","15,436","15,090","15,616","16,681","15,887","17,302","16,091","16,974","16,791","17,577","18,046","19,637","20,453","23,724","26,379","30,295","37,268","18,733","25,847","13,390","16,646","10,948","14,721","9,113","12,506","3,687","9,019",2,127,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,17,상왕십리,68,3,"5,354",556,"11,475","4,546","32,458","10,223","50,257","29,623","27,606","16,717","16,429","11,459","15,587","10,736","16,418","11,753","16,084","13,254","14,708","12,752","15,774","14,357","15,503","17,253","19,613","25,206","24,253","42,887","15,029","30,188","9,927","18,496","9,256","16,643","7,156","15,212","2,152","10,489",2,54,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,18,왕십리(성동구청),685,2,"6,326",788,"9,017","5,112","22,149","10,181","38,432","24,774","23,523","16,048","15,930","11,587","16,552","12,607","17,969","15,034","19,129","15,617","19,578","16,163","19,707","17,297","22,282","19,425","29,022","27,567","33,649","45,652","21,032","29,966","18,901","18,214","21,104","14,914","21,206","13,891","11,166","10,948",62,218,1,2,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,19,한양대,4,0,874,299,"2,253","4,791","4,991","10,000","7,688","24,869","4,928","26,571","4,346","13,853","5,582","8,544","9,324","9,257","7,402","10,256","7,556","8,553","8,423","6,763","14,275","6,159","23,570","6,697","21,733","8,240","10,732","5,266","8,118","3,954","7,546","3,631","6,331","3,427","2,723","2,691",0,43,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,20,뚝섬,38,0,"3,511","1,869","7,296","12,696","16,661","26,756","24,553","107,811","14,747","64,572","11,376","25,784","11,783","18,917","13,891","19,655","16,238","21,041","18,194","19,414","21,528","19,134","25,842","20,630","42,752","24,833","95,250","34,168","47,800","21,948","27,289","12,819","24,027","10,163","16,673","9,244","5,598","6,548",2,111,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,21,성수,35,1,"4,959","3,039","8,890","24,863","20,768","59,410","27,073","222,228","21,137","99,421","16,892","37,153","18,050","28,938","20,162","31,329","24,594","33,334","27,174","30,026","31,688","30,998","40,458","31,186","80,198","35,019","176,430","45,074","77,137","29,396","43,935","16,242","41,094","12,749","30,738","11,763","9,177","10,315",4,"3,466",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,22,건대입구,290,16,"15,623","1,734","19,711","17,155","46,696","23,415","78,722","53,321","53,204","40,977","30,017","34,396","28,820","36,356","33,632","43,576","35,367","49,892","36,708","49,285","40,689","52,863","47,646","58,507","57,984","79,598","72,088","124,400","52,756","90,867","52,718","54,053","56,034","47,749","58,498","41,871","29,292","25,420",15,"3,356",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,23,구의(광진구청),38,2,"12,529","1,249","23,136","9,012","57,624","12,973","95,722","33,922","55,823","21,991","29,094","16,830","24,550","16,716","25,184","19,423","25,311","20,954","22,585","22,642","22,585","27,756","25,080","31,827","29,722","44,805","36,903","78,435","20,307","59,447","16,077","38,389","14,644","34,028","13,339","32,799","5,745","17,529",7,"1,395",0,1,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,24,강변(동서울터미널),32,0,"8,046","2,603","23,895","19,864","67,900","23,668","92,892","44,988","64,945","37,989","46,803","35,496","43,816","34,492","44,135","38,190","44,769","41,519","40,647","43,153","42,358","48,040","44,607","53,946","50,744","67,795","58,546","101,199","44,677","73,933","35,110","47,308","29,507","36,743","19,612","36,900","6,739","19,919",9,"1,038",0,0,1,1,0,0,2020-09-03 12:26:43
