사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-08,경부선,121,서울역,7,2,33,265,63,"1,648","5,967","2,908","12,933","3,365","7,507","2,508","6,559","1,777","8,119","1,248","9,176","1,791","8,076","1,727","4,748","1,588","9,720","1,728","11,109","2,056","11,798","3,435","11,895","4,972","11,404","2,772","7,437","1,384","9,044","1,091","6,784",905,"2,728",233,15,13,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,122,남영,118,4,"2,322","1,275","3,925","6,682","9,917","17,567","13,845","44,358","9,117","25,010","7,632","9,342","8,205","7,995","9,169","8,991","9,540","9,235","9,797","8,559","11,553","8,830","14,068","9,852","20,903","12,807","40,788","17,637","16,147","12,741","10,490","7,863","9,505","6,958","7,694","6,771","3,099","4,155",13,162,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,123,용산,371,13,"3,656","5,262","4,681","28,605","16,801","59,940","23,211","121,152","24,108","78,898","20,920","63,937","32,169","50,572","35,465","55,405","42,711","55,598","41,846","52,408","61,084","50,630","68,467","47,069","90,167","47,117","126,267","57,613","77,907","37,691","67,813","23,780","63,953","17,955","38,427","11,137","14,529","4,786",377,"1,218",1,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,124,노량진,528,4,"4,513","1,286","5,638","4,433","14,124","10,361","18,301","16,713","10,603","9,938","8,178","6,879","8,248","6,593","9,090","7,899","10,680","9,040","9,606","7,742","9,460","8,914","11,249","10,248","14,123","16,237","18,432","28,200","11,249","17,212","10,574","10,793","12,180","9,120","12,822","8,206","4,491","5,552",56,417,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,125,대방,468,3,"5,069","2,358","9,838","10,326","25,351","31,373","32,353","43,128","18,323","18,567","13,431","9,587","12,490","9,249","12,943","10,138","13,088","11,215","12,737","10,455","14,204","11,585","15,784","13,441","27,800","19,470","41,071","32,408","16,044","22,284","10,727","15,288","10,028","13,304","7,554","12,015","2,163","7,450",12,711,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,126,영등포,"4,214",56,"15,709","5,854","14,581","20,719","31,891","54,220","46,735","107,134","32,374","80,701","27,186","61,812","34,455","59,922","39,869","63,456","43,996","68,962","51,297","61,938","58,265","63,762","71,621","64,194","90,060","70,767","133,017","95,479","81,564","64,047","85,239","33,545","67,620","25,459","52,130","20,253","19,782","11,493",154,"2,602",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,127,신도림,536,3,"1,904",644,"3,021","2,126","8,277","5,924","10,140","13,867","5,283","5,711","3,596","3,732","3,212","3,438","3,563","3,735","3,446","3,806","3,277","3,679","3,792","4,285","4,680","4,703","7,683","6,825","13,092","11,192","5,247","7,179","4,036","4,178","4,040","3,966","2,649","3,138","1,236","1,858",31,"1,548",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,151,신길,834,1,"9,889","1,885","9,513","4,985","20,014","13,350","26,608","24,444","15,681","9,384","9,650","5,619","8,848","5,454","9,146","6,366","9,308","6,753","8,226","6,697","9,237","8,167","11,411","8,773","15,694","13,749","27,587","19,869","11,538","14,472","6,525","9,596","6,096","9,858","4,312","8,475","1,617","5,328",17,733,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,249,구로,"10,550",33,"19,637","4,418","16,904","12,410","31,423","30,358","32,399","68,526","21,252","34,230","16,509","18,545","16,028","15,399","16,675","15,113","16,499","16,159","16,606","15,713","18,880","17,855","24,445","19,911","39,602","28,097","56,672","35,736","24,363","25,866","14,947","17,741","12,710","18,038","9,932","13,750","4,301","11,536",40,"9,141",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,250,가산디지털단지,"1,159",6,"7,124","2,200","6,505","10,885","11,981","44,026","11,764","128,798","8,563","63,065","7,596","19,507","8,023","12,850","9,554","12,264","10,120","13,539","11,068","12,027","12,483","12,654","17,560","13,999","49,804","17,984","96,513","22,170","39,775","15,628","23,145","10,287","18,841","9,744","12,028","8,438","4,428","4,901",78,"1,066",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,251,금천구청,751,7,"9,664","1,538","15,420","4,740","37,950","12,830","34,958","25,324","19,419","9,745","12,719","7,396","11,533","7,646","11,917","9,387","11,024","9,798","10,241","9,798","10,351","12,648","11,271","14,251","13,742","20,134","21,643","36,786","10,530","28,377","7,605","15,192","6,155","14,755","4,611","11,920","1,562","7,642",37,748,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,252,석수,404,1,"6,750","2,307","14,519","5,676","33,133","10,185","33,290","14,498","17,402","8,960","11,184","6,704","9,776","5,531","10,009","6,440","9,396","6,985","9,016","7,001","9,950","8,679","11,529","10,252","14,770","15,159","16,685","28,366","9,413","23,856","6,098","13,322","5,019","13,787","3,319","11,156","1,362","6,361",43,777,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,253,관악,243,2,"6,270","2,007","10,525","3,925","26,933","4,849","24,472","8,116","12,697","6,978","8,255","6,820","7,313","5,371","7,906","5,991","7,383","5,597","7,000","5,857","6,803","6,871","8,272","7,974","10,001","11,687","9,313","22,505","5,572","19,144","4,444","10,513","3,939","10,027","2,276","8,470",803,"5,328",37,949,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,254,안양,398,7,"12,605","3,191","26,520","11,061","65,608","14,477","58,241","26,068","31,873","21,915","22,913","19,214","22,422","21,018","24,469","23,477","24,359","25,550","23,461","24,876","25,369","27,462","29,303","30,242","32,113","42,494","31,744","67,416","21,746","57,654","19,067","33,415","20,150","25,586","15,441","19,851","6,342","15,079",358,"2,727",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,255,명학,180,0,"6,232","2,390","8,492","8,731","20,560","19,769","18,706","44,305","9,671","10,935","6,547","6,074","6,846","4,836","7,430","5,435","6,879","5,885","6,599","5,384","7,363","5,794","10,378","6,944","19,775","9,472","30,988","16,652","10,795","14,849","9,688","9,123","7,292","7,548","3,737","6,812","1,392","4,623",62,990,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,256,금정,364,6,"20,244","6,718","29,481","19,798","67,642","34,152","68,387","69,839","38,274","24,745","25,203","16,560","23,691","17,571","24,606","19,419","24,286","20,547","21,981","21,519","23,150","24,940","27,978","31,228","45,601","44,177","60,795","67,674","28,555","59,728","21,920","37,336","18,499","34,257","14,227","28,907","5,983","20,066",388,"5,000",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,257,군포,98,2,"4,630","1,673","7,711","6,457","15,721","23,624","14,510","35,881","8,057","6,504","6,165","4,299","5,729","4,229","5,929","4,688","5,827","4,998","5,554","4,490","5,716","5,432","7,332","6,649","16,175","9,288","28,848","12,031","10,956","10,966","8,431","7,452","5,717","6,374","3,222","5,041","1,465","3,668",92,535,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,258,의왕,158,5,"5,432","1,614","11,003","6,244","24,355","18,495","24,151","20,633","10,480","7,465","8,385","5,168","8,405","5,463","8,419","5,554","8,539","6,762","7,667","6,435","7,621","7,674","9,469","9,850","17,872","13,726","18,572","22,044","9,354","19,049","6,918","12,757","5,193","10,393","3,253","8,768","1,384","6,006",92,"1,211",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,259,성균관대,137,2,"7,331","1,630","22,812","4,570","52,051","7,941","42,591","15,241","18,982","11,192","14,060","8,064","13,106","9,745","13,964","9,512","13,229","12,419","12,468","11,991","12,420","13,435","14,683","17,426","18,335","24,611","18,995","44,595","11,363","43,329","9,696","24,673","8,321","20,636","7,320","17,678","3,251","12,260",175,"2,461",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,260,화서,396,2,"5,928","1,471","15,968","4,972","31,487","4,271","22,468","7,484","9,628","4,739","7,163","4,280","6,904","4,409","6,819","4,308","6,594","5,787","5,693","5,338","6,005","6,715","7,694","7,338","8,640","13,804","8,004","23,747","4,889","22,200","3,593","12,497","3,140","10,609","2,530","8,526",774,"5,624",51,"1,419",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,261,수원,"2,165",40,"17,896","5,977","29,842","24,858","61,497","45,457","54,742","59,865","34,440","52,968","32,083","45,554","36,084","47,770","39,498","56,226","41,017","55,332","42,470","56,104","49,401","54,152","62,211","60,634","70,070","71,674","80,745","94,283","65,014","78,149","67,089","45,553","48,363","36,969","42,184","29,570","16,025","19,466",459,"5,250",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,262,독산,481,3,"6,346","3,108","13,696","12,238","32,367","33,243","30,626","82,003","16,571","37,068","12,388","13,347","11,794","9,801","13,411","11,056","12,734","11,547","12,387","10,083","13,839","12,104","19,339","13,951","40,327","18,259","60,834","34,009","28,654","26,925","14,814","15,850","11,816","15,569","7,465","12,623","2,311","7,709",62,503,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,263,세류,362,2,"2,813",596,"6,030","2,368","11,495","3,730","7,660","3,863","4,152","2,585","3,363","2,264","3,143","2,485","3,099","2,385","2,979","2,626","2,682","2,597","3,087","2,862","3,755","3,909","4,919","5,080","4,891","8,152","3,060","8,253","2,518","4,937","1,941","4,612","1,233","3,544",443,"2,292",3,854,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,264,병점,"2,658",17,"6,211","3,364","18,794","9,455","37,895","17,577","28,319","19,891","17,645","11,087","14,480","8,781","14,600","10,156","15,067","10,663","14,142","11,699","13,588","12,556","15,651","13,465","18,058","17,910","25,141","22,060","27,257","34,513","14,766","33,213","10,879","22,707","9,373","19,567","6,567","16,191","1,959","11,011",22,"5,758",1,1,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,265,세마,246,1,"1,734",619,"4,201","1,516","7,091","3,017","5,475","5,192","4,364","1,724","2,925","1,424","2,723","1,720","3,006","1,865","3,031","2,051","2,764","2,109","2,746","1,661","3,351","3,031","4,041","4,020","5,101","6,063","2,117","5,753","1,494","3,856","1,584","3,573",789,"3,027",350,"1,721",25,157,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,266,오산대,212,1,"1,875",662,"4,629","1,971","7,977","3,514","5,430","5,889","3,845","2,313","3,085","2,284","2,848","2,157","3,004","2,232","3,277","3,373","3,149","2,979","3,346","1,988","4,146","3,411","4,682","4,867","6,594","7,521","3,168","5,892","2,524","3,875","2,471","3,891","1,563","2,719",782,"1,871",60,93,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,267,오산,345,4,"5,127","1,128","11,828","7,588","16,695","19,487","15,784","15,156","12,393","10,515","11,408","7,675","11,751","7,642","12,628","10,020","11,722","10,619","11,553","10,786","12,070","12,591","14,016","13,694","19,651","17,144","21,271","21,893","12,765","18,480","10,376","15,169","7,624","11,821","4,914","8,419","1,765","5,433",68,340,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,268,진위,19,0,660,300,"1,333","2,011","2,186","5,484","1,892","5,804","1,470","1,197","1,146",969,"1,051",883,"1,424",860,"1,307",964,"1,271",849,"1,710",965,"1,749","1,236","4,629","1,493","6,892","2,009","2,756","1,883","1,475","1,135","1,109","1,390",533,"1,273",192,544,6,61,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,269,송탄,141,2,"5,810",690,"6,528","2,509","10,391","4,082","7,802","5,749","6,138","3,415","5,566","2,804","5,532","3,418","5,496","3,997","5,693","3,972","5,017","4,487","5,341","5,449","5,809","5,854","6,403","7,965","7,813","8,743","4,876","10,355","3,741","6,732","2,953","7,511","1,687","6,511",707,"3,764",39,399,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,270,서정리,66,2,"2,553","6,396","6,781","6,488","9,342","8,731","8,788","10,459","6,368","4,683","6,599","4,207","6,844","4,423","7,783","6,139","7,131","6,376","7,166","5,883","7,751","5,787","9,097","9,564","14,869","9,988","14,690","10,776","8,794","11,719","6,023","7,769","3,937","7,483","2,117","6,653",861,"4,468",19,490,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,271,지제,5,0,812,"1,405","2,249","4,632","4,832","7,248","3,704","4,471","2,351","2,613","2,029","1,575","2,220","2,228","3,091","2,410","2,064","1,721","2,589","1,995","3,879","2,758","4,296","2,636","7,085","2,533","6,842","4,712","4,477","3,741","2,694","2,836","2,804","2,435","2,077","2,193",705,"1,390",0,54,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,272,평택,205,0,"6,528","2,496","11,747","6,988","20,608","12,980","18,496","17,792","15,374","15,155","14,898","12,437","14,598","15,713","15,577","15,978","16,171","16,485","16,018","17,437","17,004","18,142","20,257","20,740","23,524","23,637","23,695","26,464","18,003","22,341","16,927","16,020","12,337","13,047","8,881","9,710","4,187","6,716",15,"1,460",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,273,성환,52,2,"1,665",734,"2,699","1,627","4,656","7,555","4,882","8,950","4,292","3,638","4,163","3,178","4,272","3,272","4,300","4,142","5,049","3,674","4,947","3,913","5,717","3,836","5,896","4,467","9,559","5,326","7,581","5,998","3,709","4,814","3,490","4,142","2,090","4,279","1,024","3,609",589,"2,965",40,638,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,274,직산,95,3,359,285,"1,092",729,"1,367","1,680","1,026","2,343","1,029",631,872,737,759,751,855,724,889,843,791,661,"1,028",712,936,929,"1,893","1,041","2,134","1,231",835,"1,489",696,712,535,792,305,625,130,491,9,91,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,275,두정,"1,071",2,"3,480",684,"6,822","2,194","10,301","4,956","8,523","6,831","5,775","6,109","5,709","3,789","5,500","4,868","5,379","5,557","5,957","6,586","5,860","5,840","6,140","5,947","6,930","7,088","8,638","8,860","8,385","11,646","5,564","9,388","4,674","8,398","3,954","6,505","3,158","5,864","1,545","4,604",39,"1,244",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,276,천안,"1,526",4,"2,474",600,"4,286","3,366","7,319","4,246","6,635","7,529","7,284","8,355","7,480","7,473","8,268","9,391","7,825","8,867","8,918","10,177","9,611","7,974","10,042","11,341","10,415","9,123","10,501","10,143","10,650","10,927","7,658","9,053","6,186","7,766","4,903","4,082","2,976","3,927","1,455","2,116",7,"2,082",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,277,당정,18,4,"3,169",989,"9,085","2,859","20,610","6,652","17,832","12,874","8,680","4,855","6,257","3,283","6,140","3,528","6,478","3,965","6,292","4,152","5,361","4,107","5,848","5,297","6,333","6,633","8,393","9,542","12,559","14,998","5,277","16,645","4,196","10,271","3,192","8,596","2,242","7,192",950,"5,553",75,"1,126",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,278,서동탄,1,0,"1,134",6,"4,155",566,"9,031","1,575","3,523","1,471","1,684",784,"1,390",715,"1,442",938,"1,482",980,"1,337",928,"1,229","1,134","1,457","1,441","1,576","1,531","1,709","2,367","2,093","3,554","1,060","4,982",680,"2,548",509,"1,514",417,"1,823",112,"1,251",5,875,0,2,0,0,0,0,2020-09-03 12:26:43
2020-08,경부선,279,광명,0,0,12,"2,087","2,377","3,091","11,109","3,674","8,365","2,866","4,945","3,055",900,"2,288","3,242","1,613","4,280","2,427","2,901","2,175","2,869","4,644","3,363","2,574","8,713","2,908","1,689","4,029","6,211","9,687","6,727","6,448","1,332","3,487","4,516","2,257","1,736","3,837",390,37,0,0,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,293,개봉,"1,138",21,"16,333","5,630","31,836","10,098","76,577","14,175","72,215","20,632","41,150","17,274","28,563","13,250","25,395","15,681","26,238","18,913","23,961","18,086","21,652","21,432","21,287","25,901","23,463","31,602","25,957","48,324","26,137","80,874","16,649","60,596","12,736","37,086","10,657","31,142","7,315","26,585","3,261","15,982",123,"2,632",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,294,오류동,654,7,"10,548","1,829","16,081","4,979","42,108","5,541","41,980","9,666","22,080","8,813","15,481","8,036","13,600","8,492","14,948","9,878","13,694","10,148","11,848","11,289","11,272","13,815","12,976","15,322","13,392","20,813","13,246","38,657","8,270","31,976","6,283","20,028","5,508","17,547","4,397","14,424","1,628","9,098",123,"1,665",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,295,역곡,"1,034",12,"23,790","3,479","38,985","9,389","103,255","11,812","98,037","22,942","49,708","20,007","32,106","17,916","28,692","19,764","29,892","21,724","28,507","23,223","24,732","24,835","24,192","27,811","26,140","39,196","28,889","54,491","29,523","96,925","19,046","83,277","15,899","48,482","13,719","40,537","11,503","35,960","5,014","22,616",370,"2,922",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,296,부천,"2,570",33,"30,940","4,637","37,923","11,740","92,261","17,899","91,154","37,208","50,026","35,675","38,088","32,437","38,143","34,155","40,850","39,683","39,948","42,148","38,398","44,556","41,084","44,551","45,278","52,074","48,809","70,145","51,802","108,430","36,402","92,596","31,024","51,883","30,346","45,011","25,985","35,671","11,449","25,730",884,"4,512",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,297,송내,"1,414",22,"14,261","7,594","33,085","14,154","94,069","27,171","76,398","66,584","39,370","35,347","28,907","20,126","28,760","18,836","29,638","20,604","27,335","23,395","25,420","22,818","25,654","24,456","30,059","31,522","38,264","46,101","65,412","79,006","29,118","74,048","20,794","41,270","17,507","34,759","14,712","30,989","6,513","18,997",880,"4,217",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,298,부평,"7,113",56,"19,321","4,862","31,538","10,989","72,620","17,652","67,761","28,555","36,736","34,894","31,647","29,637","32,415","35,001","35,626","39,551","35,930","47,512","36,001","46,702","38,955","49,828","44,301","54,020","50,777","66,534","49,238","106,323","38,875","85,023","36,998","50,201","36,214","40,334","32,271","32,396","16,122","21,711","2,582","6,148",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,299,백운,143,2,"6,797","1,492","12,226","2,926","24,579","3,966","22,545","8,330","12,348","6,286","9,844","4,907","9,034","5,859","9,273","6,520","8,406","6,851","7,546","6,885","7,124","8,486","7,775","10,121","9,271","13,547","9,405","21,669","4,925","19,876","3,817","12,367","3,088","10,775","2,266","9,372","1,095","6,820",116,"1,853",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,300,동암,763,5,"17,656","4,692","26,086","9,265","47,711","12,450","44,458","15,602","26,429","12,531","19,446","12,060","18,614","13,969","18,993","14,306","18,285","15,006","16,507","15,439","16,144","19,648","19,011","22,158","21,597","31,974","21,051","47,105","13,974","42,735","10,915","28,535","9,864","24,691","7,318","20,543","3,639","13,864",309,"3,500",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,301,주안,973,15,"12,231","3,390","22,355","7,733","55,115","15,738","45,117","24,288","28,187","18,304","21,182","13,602","22,265","13,921","23,865","17,464","23,807","17,452","21,526","18,980","22,328","18,917","26,017","24,072","31,845","32,822","33,901","47,777","20,799","49,924","17,131","29,453","15,865","25,620","12,722","21,670","6,172","15,475",543,"4,172",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,302,제물포,936,11,"6,415","1,534","11,915","5,087","31,090","10,376","26,427","20,784","14,943","10,720","11,529","7,118","12,088","6,689","12,509","8,250","11,947","9,126","10,533","8,530","11,217","9,102","14,467","12,209","16,064","16,493","19,202","23,212","9,080","23,657","6,172","15,233","4,679","12,735","3,452","11,220","1,625","9,143",70,"2,653",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,303,동인천,"1,531",5,"6,676","2,721","13,498","10,970","34,730","18,345","26,815","27,707","17,780","13,733","15,306","14,243","17,155","15,992","18,461","16,197","19,095","17,020","18,601","16,107","19,848","16,182","23,165","19,621","29,161","20,791","33,061","28,679","16,621","30,384","12,260","17,909","9,096","13,936","5,926","13,104","2,469","9,691",9,"2,883",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,304,인천,278,0,"1,255",805,"2,300","3,018","4,511","4,190","3,976","6,123","2,619","2,967","2,762","3,672","3,616","5,102","4,614","5,580","5,425","5,477","6,158","5,420","6,681","4,827","7,668","4,111","9,633","3,437","9,073","3,169","4,752","2,317","3,822","1,776","2,758","1,387","1,428","1,193",540,743,5,698,0,9,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,305,구일,247,15,"3,454","1,514","8,254","3,027","22,405","6,073","20,655","9,205","9,900","5,247","7,281","3,475","6,663","3,917","6,802","4,786","6,283","5,519","5,992","5,776","6,270","7,367","6,911","8,908","7,746","13,632","9,049","24,847","4,850","18,799","4,471","9,793","5,884","8,153","4,275","6,983","1,221","4,257",25,898,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,306,소사,"1,438",86,"14,539","2,593","14,635","5,128","30,511","6,964","28,410","9,762","17,559","7,741","13,667","7,788","11,801","8,367","11,895","9,090","10,636","9,418","9,764","9,706","9,870","10,130","10,099","13,018","11,831","18,073","11,138","27,093","6,967","24,119","5,280","13,931","4,323","13,389","3,249","11,892","1,455","8,393",164,"1,662",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,307,부개,"1,843",31,"8,356","2,577","13,903","4,246","32,211","4,802","25,086","9,189","14,476","5,989","10,819","5,384","10,205","6,028","10,043","6,860","9,397","7,813","8,674","7,695","8,155","9,143","9,630","12,237","10,107","14,421","10,054","26,577","5,970","22,170","4,088","13,021","3,429","12,141","2,809","9,890","1,231","6,887",200,"1,729",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,308,간석,281,6,"4,605","1,123","9,553","1,786","20,176","3,384","16,159","6,742","9,275","4,422","6,860","3,850","7,161","4,845","6,564","5,139","6,653","5,520","5,848","5,720","6,482","6,184","6,654","7,908","7,131","10,763","7,835","15,981","4,605","16,113","3,580","9,588","3,321","7,881","2,438","7,075","1,322","4,897",141,"1,488",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,309,도원,626,11,"2,144",980,"2,929","1,683","5,710","3,377","5,088","13,662","3,895","3,519","3,558","3,475","3,858","3,099","4,944","3,301","4,543","3,551","4,182","3,451","4,510","3,472","7,410","4,133","5,402","4,576","6,053","5,551","2,654","5,047","1,873","3,223","2,018","2,865","1,118","2,294",261,"1,813",12,887,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,310,온수(성공회대입구),275,2,"4,904","1,258","7,906","3,757","20,945","6,338","18,560","9,522","11,144","5,071","8,761","5,016","8,175","4,931","8,952","5,822","8,216","6,100","7,327","6,375","7,506","6,802","9,361","9,020","9,176","12,147","9,421","20,137","4,824","17,329","3,831","9,754","3,366","8,490","2,458","7,962","1,183","4,748",132,933,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,311,중동,821,3,"9,135","1,381","14,780","4,584","35,771","5,557","28,001","10,409","14,677","7,278","10,691","6,700","10,526","6,717","10,512","8,084","10,448","8,032","8,803","9,076","8,827","9,450","10,008","11,868","11,097","16,060","11,558","26,158","6,140","25,481","4,939","14,818","4,183","11,927","2,778","10,508","1,204","6,608",126,"2,405",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경인선,312,도화,409,0,"3,166",743,"5,626","2,583","12,537","3,323","10,160","5,252","6,304","2,855","4,860","2,732","4,622","2,929","4,742","3,453","4,543","3,537","4,167","3,857","4,061","3,725","4,856","5,412","5,730","5,924","5,366","8,165","2,744","8,237","2,036","5,208","1,369","4,356",930,"3,518",594,"2,959",19,"1,230",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,128,이촌(국립중앙박물관),110,1,"1,058",518,"3,063","2,021","6,596","3,852","7,807","6,982","6,213","4,482","4,658","2,941","4,760","2,672","5,015","2,986","5,120","3,510","4,589","3,166","5,187","3,521","6,420","3,896","8,428","4,802","8,235","6,758","4,621","5,721","3,284","3,633","3,403","3,078","2,223","3,178",778,"2,038",66,707,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,129,서빙고,36,1,819,571,"1,671","2,688","2,645","3,800","2,961","6,779","2,492","2,718","2,035","1,538","2,014","1,328","2,060","1,555","2,340","1,649","2,261","1,482","2,641","1,825","3,586","1,996","5,389","2,366","6,101","3,135","2,463","2,592","1,610","1,489","1,259","1,219",906,"1,240",268,811,49,267,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,130,한남,197,1,"1,928",713,"2,318","4,320","4,168","9,245","5,268","12,084","4,240","9,984","4,060","4,802","4,447","4,151","4,525","4,177","4,419","4,978","5,143","3,697","6,172","4,404","7,335","4,677","11,797","5,681","13,117","6,912","6,447","4,964","4,470","2,980","4,232","3,161","3,627","2,050","1,456","1,450",57,571,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,131,옥수,3,0,1,6,0,54,29,11,36,213,33,22,18,153,22,218,11,81,22,25,27,31,11,5,312,14,292,28,17,33,265,20,14,9,17,6,25,6,8,2,0,0,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,132,응봉,151,2,"1,075",284,"2,384",961,"5,517","1,463","5,844","1,819","3,583","1,091","2,307","1,000","2,108","1,145","2,051","1,278","2,039","1,519","1,762","1,640","1,951","1,896","2,159","2,470","2,237","2,902","2,368","4,202","1,175","4,149",930,"2,220",744,"1,678",487,"1,507",243,"1,046",8,365,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,133,왕십리(성동구청),905,5,"4,849",839,"7,480","4,450","21,745","9,228","35,281","18,399","22,282","13,537","12,985","13,103","12,821","15,966","15,506","18,778","16,340","20,936","16,893","20,618","18,564","22,689","20,563","26,242","24,554","34,773","25,689","57,009","19,513","43,315","18,372","24,435","21,040","19,012","19,838","18,919","9,295","10,732",395,"4,558",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,134,청량리(서울시립대입구),"1,143",5,"5,169","1,152","7,350","8,873","23,225","11,036","24,757","16,618","21,498","24,151","16,343","22,789","19,715","27,368","21,531","23,982","20,842","22,668","23,410","25,452","26,326","27,158","24,175","25,096","28,836","28,373","24,359","38,299","22,124","30,916","20,057","15,789","11,765","12,752","7,147","10,219","4,370","5,511",106,"2,564",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,경원선,136,외대앞,567,15,"4,654","1,260","7,161","3,179","14,877","3,261","17,634","8,908","11,305","7,841","9,300","6,555","9,035","6,729","9,749","7,569","9,957","8,169","10,120","8,325","10,904","9,933","11,179","10,850","11,965","13,817","11,057","19,524","7,422","16,835","5,700","10,968","5,741","10,346","4,538","9,554","2,456","6,590",46,"1,249",0,0,0,0,0,0,2020-09-03 12:26:43
